[02/20 12:46:19] cifar10-resnet56 INFO: Epoch 92/200, Acc=0.7999, Val Loss=0.5920, lr=0.1000
[02/20 12:46:54] cifar10-resnet56 INFO: Epoch 93/200, Acc=0.8134, Val Loss=0.5636, lr=0.1000
[02/20 12:47:29] cifar10-resnet56 INFO: Epoch 94/200, Acc=0.7325, Val Loss=0.8290, lr=0.1000
[02/20 12:48:04] cifar10-resnet56 INFO: Epoch 95/200, Acc=0.7435, Val Loss=0.8510, lr=0.1000
[02/20 12:48:39] cifar10-resnet56 INFO: Epoch 96/200, Acc=0.8250, Val Loss=0.5384, lr=0.1000
[02/20 12:49:14] cifar10-resnet56 INFO: Epoch 97/200, Acc=0.8562, Val Loss=0.4249, lr=0.1000
[02/20 12:49:49] cifar10-resnet56 INFO: Epoch 98/200, Acc=0.8057, Val Loss=0.6104, lr=0.1000
[02/20 12:50:24] cifar10-resnet56 INFO: Epoch 99/200, Acc=0.7967, Val Loss=0.6506, lr=0.1000
[02/20 12:50:59] cifar10-resnet56 INFO: Epoch 100/200, Acc=0.7016, Val Loss=1.2373, lr=0.1000
[02/20 12:51:34] cifar10-resnet56 INFO: Epoch 101/200, Acc=0.8461, Val Loss=0.4581, lr=0.1000
[02/20 12:52:10] cifar10-resnet56 INFO: Epoch 102/200, Acc=0.8348, Val Loss=0.5016, lr=0.1000
[02/20 12:52:45] cifar10-resnet56 INFO: Epoch 103/200, Acc=0.8186, Val Loss=0.5200, lr=0.1000
[02/20 12:53:19] cifar10-resnet56 INFO: Epoch 104/200, Acc=0.8203, Val Loss=0.5540, lr=0.1000
[02/20 12:53:54] cifar10-resnet56 INFO: Epoch 105/200, Acc=0.8190, Val Loss=0.5410, lr=0.1000
[02/20 12:54:29] cifar10-resnet56 INFO: Epoch 106/200, Acc=0.8192, Val Loss=0.5338, lr=0.1000
[02/20 12:55:05] cifar10-resnet56 INFO: Epoch 107/200, Acc=0.7974, Val Loss=0.6075, lr=0.1000
[02/20 12:55:39] cifar10-resnet56 INFO: Epoch 108/200, Acc=0.8455, Val Loss=0.4689, lr=0.1000
[02/20 12:56:14] cifar10-resnet56 INFO: Epoch 109/200, Acc=0.8150, Val Loss=0.5456, lr=0.1000
[02/20 12:56:48] cifar10-resnet56 INFO: Epoch 110/200, Acc=0.8243, Val Loss=0.5318, lr=0.1000
[02/20 12:57:23] cifar10-resnet56 INFO: Epoch 111/200, Acc=0.8191, Val Loss=0.5194, lr=0.1000
[02/20 12:57:58] cifar10-resnet56 INFO: Epoch 112/200, Acc=0.7989, Val Loss=0.6524, lr=0.1000
[02/20 12:58:32] cifar10-resnet56 INFO: Epoch 113/200, Acc=0.8032, Val Loss=0.6093, lr=0.1000
[02/20 12:59:07] cifar10-resnet56 INFO: Epoch 114/200, Acc=0.7566, Val Loss=0.8528, lr=0.1000
[02/20 12:59:42] cifar10-resnet56 INFO: Epoch 115/200, Acc=0.7916, Val Loss=0.6375, lr=0.1000
[02/20 13:00:20] cifar10-resnet56 INFO: Epoch 116/200, Acc=0.7590, Val Loss=0.7602, lr=0.1000
[02/20 13:01:00] cifar10-resnet56 INFO: Epoch 117/200, Acc=0.8175, Val Loss=0.5418, lr=0.1000
[02/20 13:01:38] cifar10-resnet56 INFO: Epoch 118/200, Acc=0.8199, Val Loss=0.5322, lr=0.1000
[02/20 13:02:13] cifar10-resnet56 INFO: Epoch 119/200, Acc=0.8245, Val Loss=0.5377, lr=0.1000
[02/20 13:02:48] cifar10-resnet56 INFO: Epoch 120/200, Acc=0.9132, Val Loss=0.2588, lr=0.0100
[02/20 13:03:22] cifar10-resnet56 INFO: Epoch 121/200, Acc=0.9198, Val Loss=0.2433, lr=0.0100
[02/20 13:03:56] cifar10-resnet56 INFO: Epoch 122/200, Acc=0.9195, Val Loss=0.2384, lr=0.0100
[02/20 13:04:31] cifar10-resnet56 INFO: Epoch 123/200, Acc=0.9225, Val Loss=0.2337, lr=0.0100
[02/20 13:05:06] cifar10-resnet56 INFO: Epoch 124/200, Acc=0.9233, Val Loss=0.2345, lr=0.0100
[02/20 13:05:40] cifar10-resnet56 INFO: Epoch 125/200, Acc=0.9222, Val Loss=0.2420, lr=0.0100
[02/20 13:06:15] cifar10-resnet56 INFO: Epoch 126/200, Acc=0.9225, Val Loss=0.2458, lr=0.0100
[02/20 13:06:49] cifar10-resnet56 INFO: Epoch 127/200, Acc=0.9208, Val Loss=0.2572, lr=0.0100
[02/20 13:07:24] cifar10-resnet56 INFO: Epoch 128/200, Acc=0.9248, Val Loss=0.2435, lr=0.0100
[02/20 13:07:58] cifar10-resnet56 INFO: Epoch 129/200, Acc=0.9234, Val Loss=0.2541, lr=0.0100
[02/20 13:08:33] cifar10-resnet56 INFO: Epoch 130/200, Acc=0.9235, Val Loss=0.2540, lr=0.0100
[02/20 13:09:08] cifar10-resnet56 INFO: Epoch 131/200, Acc=0.9203, Val Loss=0.2556, lr=0.0100
[02/20 13:09:43] cifar10-resnet56 INFO: Epoch 132/200, Acc=0.9196, Val Loss=0.2651, lr=0.0100
[02/20 13:10:19] cifar10-resnet56 INFO: Epoch 133/200, Acc=0.9196, Val Loss=0.2745, lr=0.0100
[02/20 13:10:54] cifar10-resnet56 INFO: Epoch 134/200, Acc=0.9187, Val Loss=0.2633, lr=0.0100
[02/20 13:11:29] cifar10-resnet56 INFO: Epoch 135/200, Acc=0.9194, Val Loss=0.2737, lr=0.0100
[02/20 13:12:05] cifar10-resnet56 INFO: Epoch 136/200, Acc=0.9199, Val Loss=0.2612, lr=0.0100
[02/20 13:12:40] cifar10-resnet56 INFO: Epoch 137/200, Acc=0.9193, Val Loss=0.2732, lr=0.0100
[02/20 13:13:16] cifar10-resnet56 INFO: Epoch 138/200, Acc=0.9125, Val Loss=0.3077, lr=0.0100
[02/20 13:13:51] cifar10-resnet56 INFO: Epoch 139/200, Acc=0.9234, Val Loss=0.2671, lr=0.0100
[02/20 13:14:26] cifar10-resnet56 INFO: Epoch 140/200, Acc=0.9203, Val Loss=0.2775, lr=0.0100
[02/20 13:15:01] cifar10-resnet56 INFO: Epoch 141/200, Acc=0.9222, Val Loss=0.2637, lr=0.0100
[02/20 13:15:37] cifar10-resnet56 INFO: Epoch 142/200, Acc=0.9179, Val Loss=0.2870, lr=0.0100
[02/20 13:16:13] cifar10-resnet56 INFO: Epoch 143/200, Acc=0.9194, Val Loss=0.2758, lr=0.0100
[02/20 13:16:48] cifar10-resnet56 INFO: Epoch 144/200, Acc=0.9164, Val Loss=0.2966, lr=0.0100
[02/20 13:17:24] cifar10-resnet56 INFO: Epoch 145/200, Acc=0.9194, Val Loss=0.2792, lr=0.0100
[02/20 13:17:59] cifar10-resnet56 INFO: Epoch 146/200, Acc=0.9148, Val Loss=0.2921, lr=0.0100
[02/20 13:18:35] cifar10-resnet56 INFO: Epoch 147/200, Acc=0.9159, Val Loss=0.2955, lr=0.0100
[02/20 13:19:10] cifar10-resnet56 INFO: Epoch 148/200, Acc=0.9046, Val Loss=0.3286, lr=0.0100
[02/20 13:19:46] cifar10-resnet56 INFO: Epoch 149/200, Acc=0.9165, Val Loss=0.2860, lr=0.0100
[02/20 13:20:21] cifar10-resnet56 INFO: Epoch 150/200, Acc=0.9229, Val Loss=0.2718, lr=0.0100
[02/20 13:20:56] cifar10-resnet56 INFO: Epoch 151/200, Acc=0.9179, Val Loss=0.2777, lr=0.0100
[02/20 13:21:31] cifar10-resnet56 INFO: Epoch 152/200, Acc=0.9179, Val Loss=0.2810, lr=0.0100
[02/20 13:22:06] cifar10-resnet56 INFO: Epoch 153/200, Acc=0.9143, Val Loss=0.2937, lr=0.0100
[02/20 13:22:41] cifar10-resnet56 INFO: Epoch 154/200, Acc=0.9093, Val Loss=0.3037, lr=0.0100
